id,name
122972568,"Junior Data Scientist в команду ""Модели для поставок"""
123071487,Продуктовый лидер направления «Цифровой аватар процессов»
124021429,Старший специалист административного отдела
123613186,Data Scientist
123436531,Product AI
123749441,Бизнес-аналитик
123562084,Promt инженер LLM
124120817,"Digital-маркетолог (контекст, таргетинг, data science)"
123570610,AI/ML разработчик
124118080,Менеджер образовательных проектов
124118412,Python ML-инженер (LLM)
123798416,Аналитик
122716258,AI-инженер
124066476,Аналитик (Руководитель группы)
123346515,Специалист по исследованию данных
123576821,Intern/Business analyst
124071959,ML/DS Engineer
123359318,ML Engineer / Computer Vision (Python)
123909003,ML-инженер
124014578,Motion Designer
124104813,ML-инженер (Middle)
121405599,Product/Data Analyst
123106439,Специалист по кадровому делопроизводству
123751026,Senior Data Analyst / BI Team Lead Remote
123437095,ML Engineer
123876236,"Middle Data Scientist, Отдел сопровождения проектов ИИ"
123857699,Руководитель проекта на РМО (внедроение ИИ-агентов в процессах)
124119074,Руководитель команды аналитиков (кластеризация магазинов)
123302703,"Data Scientist (Antifraud), г. Якутск"
121571713,"Старший Java разработчик, Оценка качества поиска"
123978470,Бизнес-аналитик (ООО Салют для бизнеса)
117835206,"Java разработчик, Поисковая платформа"
121947596,HR People Partner
121121460,Java Developer в команду рекомендательной системы
124114086,Старший BI-аналитик
122187315,AI-инженер
123042501,Prompt-инженер GigaChat
123591457,IT-рекрутер
120717740,Web Content Manager
123429004,DevOps-инженер
123907909,Middle Data Scientist (Search & Recommendation)
123207014,Prompt-инженер
123690671,Junior AI/ML engineer / Младший AI/ML инженер / разработчик
124063882,Руководитель отдела BI (Tech Lead)
123070284,Аккаунт-менеджер
123510157,Data Scientist (Middle+/Senior)
123517952,"ML-инженер (Classic ML, CVM)"
123316705,Data/BI Analyst
123385895,ML-engineer / NLP-инженер
123849954,Data Scientist (стажер)
124021444,AI Tech Lead | Архитектор AI‑решений
124067371,Data Scientist
123835498,Стажер Data Scientist (Корпоративные клиенты)
123901346,ML-инженер по нейросетям/ AI инженер
123693508,ML-инженер (Anti-Fraud)
123865271,Руководитель ИИ-проектов / AI Project Manager
124122217,ИТ-лидер команды
123122811,Стажер по проектам искусственного интеллекта (AI Research/Prompt Engineering)
123311776,"AI Engineer - AI model development, testing, optimization and edge deployment"
123633063,Специалист по цифровым технологиям аудита
124122579,Системный аналитик с ML
124019348,ML-инженер (рекомендательная система)
123191395,Senior Python разработчик
123089958,SQL-разработчик
123389821,AI инженер
123879265,Руководитель проектов ИИ и автоматизации
123982911,Data Scientist
124027541,Руководитель направления ИТ-аутстаффинга | Менеджер по развитию продаж ИТ-аутстаффинга
123092518,"Ведущий разработчик Java, Верхний мета-поиск"
123110060,ML - инженер
123643949,Data Scientist
124018011,Старший инженер по компьютерному зрению
123534467,Teamlead/Python разработчик
120376207,Machine Learning Engineer
123852065,Project Manager
123038022,ML-инженер
122384572,"Аналитик данных (рекомендательные системы, персонализация)"
114920771,"Аналитик данных, Реклама"
123103039,Количественный аналитик/трейдер
122985574,Системный администратор
122137273,Data Scientist
123520553,ML-инженер / Machine Learning Engineer (Middle)
124010721,"ML-инженер (search engine, NLP)"
123658335,ML-разработчик
123467239,Руководитель проектов
124000015,Старший разработчик по машинному обучению (Machine Learning)
123698760,Проджект менеджер (по развитию новых технологий)
124073670,Data Scientist
123143442,Data Scientist (Middle) / Специалист по машинному обучению и оптимизации
122274856,Системный аналитик СКП
124041383,Младший аккаунт менеджер
123327083,AI Engineer (Human-like Agent Development)
123327113,Junior Аnalytic
123418457,ML Engineer / Machine Learning Specialist
122943126,Бизнес-аналитик / Аналитик данных
123393842,Data Scientist (руководитель направления)
123945622,Middle ML engineer в KION [МТС Веб Сервисы]
124075118,Senior Product Manager (Портал «Рамблер»)
123699441,Data Scientist
120854537,Data analyst / Аналитик данных
122142051,Data Scientist / Machine Learning Engineer
123978078,Product Manager
124020397,Data analyst / Аналитик данных (ученик)
124026745,PreSale - Инженер Machine Learning / Бизнес - аналитик
123363429,ML-инженер (Фото/Видео обработка) Data Scientist
123060756,Junior/Middle Data Engineer
123141808,Data Analyst (Finance)
123592381,Инженер DevOps
123651307,Backend-разработчик Python (AI / RAG-системы)
123404982,PHP-программист Junior
123139978,Инженер по машинному обучению
123255675,"Data Scientist в стрим ""Виртуальные ассистенты"""
123473664,ML-инженер
123884700,Специалист по работе с исполнительным производством
124010123,Lead Speech & NLP Engineer (STT/TTS/LLM)
124015203,Senior Python Developer (AI)
123082726,Scala / Java Developer (middle)
122352501,Data Scientist
123464965,LLM Engineer \ ML инженер
123146833,Менеджер проектов в области искусственного интеллекта
123062841,Project manager по внутреннему контенту и аналитике
123978471,Руководитель проектов AI (ООО Салют для бизнеса)
123325683,"Специалист-консультант по искусственному интеллекту / ML Engineer (TensorFlow, YOLO)"
123727968,Аналитик/Специалист по цифровым технологиям аудита
122706057,Data Science специалист
123058441,Support manager
123288167,AI/ML-инженер (eCommerce / Retail Automation)
123959106,ML-разработчик компилятора нейронных сетей
123205744,ML-инженер
123421302,AI Engineer
123556128,Руководитель программ цифровой трансформации
122977848,Quantitative Researcher
123947926,Data Engineer
124129267,Data analyst / Аналитик данных (стажер)
123636980,Директор Центра Компетенции по разработке мультимодальных ИИ-решений
123213152,AI-Инженер
123976555,Senior AI Developer
123136106,"Principal Data Scientist, NLP"
123706442,ML-инженер / Machine Learning Engineer
123463613,Data Scientist / ML-инженер
123122926,Аналитик данных / Data Scientist в финтех-проект
123692913,Бизнес-аналитик (ИИ)
123748758,AI/ML инженер
123410978,Специалист по анализу данных/ Data Scientist
121273118,QA Manual/Ручной тестировщик
121654632,Главный аналитик по доходам
122849694,Data Scientist (LLM)
123154909,ML-инженер (RAG/LLM)
123734578,Аналитик перфоманс-маркетинга
123148677,Junior специалист по Data Science и машинному обучению (ML/AI)
123283259,C#/.NET-разработчик
123616839,Machine Learning Engineer
124022073,AI аналитик
122698902,Юрист (middle)
122867020,AI Product manager
123364974,Data Scientist
123810002,Главный аналитик в отдел обучения (HR)
122954324,Аналитик данных / Data analyst​​​​​​​
123429867,Business Analyst
123161612,Руководитель аналитического финансового блока / Lead Financial Analytics team
123364714,Chief Product Officer / CPO Gen AI
123009151,ML - Инженер (Python)
123256351,Data Analyst / Data Scientist
123431932,Менеджер по продажам (Hero’s Journey 4You)
123914025,Системный аналитик (Голос клиента)
123335959,ML Engineer / Computer Vision Middle / Senior
124112764,Эксперт по цифровым технологиям аудита кредитных операций
120985251,Главный аналитик направления (предиктивный анализ в производстве)
123454892,ML-инженер
123155838,IT-рекрутер
123421376,Data Engineer
123891136,Менеджер BI отчетности и баз данных / BI reporting & database manager
123431068,Prompt Engineer
123349752,Менеджер по развитию
123264523,Дата инженер / Аналитик данных
123715387,Lead AI Engineer / Technical Lead
123283405,"DS/ML инженер, Отдел разработки математических моделей и ERP систем, Ozon Fresh"
122942348,"Аналитик данных (отчетность, SQL)"
124013940,Data Engineer/Дата-инженер
123406931,ML-инженер
123601569,Product manager
122098808,Risk Data Scientist в отдел разработки скоринговых моделей
123016559,IT-рекрутер (middle)
123090189,BI разработчик
123513616,Prodact owner/manager/аналитик
123112864,Менеджер BI отчетности и баз данных
124022542,"Middle, ML-инженер CV, ML"
123981869,Руководитель направления монетизации
123074617,Go Developer в команду WARP
123189151,ML-инженер
119228144,React Developer
