id,name
122942348,"Аналитик данных (отчетность, SQL)"
123406931,ML-инженер
122098808,Risk Data Scientist в отдел разработки скоринговых моделей
124022542,"Middle, ML-инженер CV, ML"
123189151,ML-инженер
123505274,Data Science / Machine Learning
123872175,Middle AI Engineer (MLOps)
123592215,ML-инженер
124126221,Senior Data Scientist
123320348,Data Scientist
121278053,ML Engineer / Инженер машинного обучения
122951492,Data Scientist NLP Senior
123198240,ML Engineer (Team Search)
123530141,Data Scientist NLP
123149461,Data Scientist риск-модели
123331986,Data Scientist
123160706,ML Data Scientist (Middle)
123842250,Data Scientist/python-разработчик
123101089,"Аналитик данных Junior (аккредитивы, эскроу)"
123661801,ML-инженер
123068810,Data scientist (Дирекция риск-моделирования)
123842996,Lead/Senior ML Engineer (to Lisbon)
123674847,Data Scientist
123002077,ML Engineer
123314133,ML-инженер
124026242,Chief Data Scientist
122368530,AI/LLM инженер
123156414,Медиа аналитик/Media Research Manager
123530013,Junior/Middle Data Scientist (команда Персонализации коммуникаций от потребности клиента)
123353997,Data Scientist (математик)
123458679,Стажер Data Scientist (ESG - риски)
123056401,Data scientist
124014739,Data Scientist
124005514,ML-инженер (Аудио)
123147315,ML-инженер / MLops для направления AI-контроля качества данных
121032246,"Старший Data Scientist, Картиночный поиск"
123988210,Senior Data Scientist
123362027,Data scientist (Исследователь данных)
121337429,Junior Agentic AI Engineer (AI Agents Developer)
123192681,Data Scientist
123395346,"Инженер по нейросетевым решениям, ML-инженер, Специалист по генеративным нейросетям, Разработчик ИИ"
123095458,Ведущий ML инженер
123826456,Senior/Team Lead Data Scientist
117833070,ML-инженер
123550080,Аналитик данных
123432388,"Старший Data Scientist, Логистика, Маршрутизатор"
123459842,Data Scientist (валидация моделей)
124094302,R&D инженер
124100325,"Engineer, Data & Analytics-II - Engineer, Data & Analytics - Senior (Data Scientist)"
123586757,Data Scientist (LLM)
122555420,Data Scientist
123073073,Data Scientist
123738485,Инженер-исследователь - Unreal Engine
123017830,Data Science Trainee
122821418,MLOps Engineer
123681284,Data Scientist / ML-специалист
122052448,ML-инженер (middle/middle+)
122820519,Middle Data Scientist
120771734,Data Scientist
123393352,"AI Engineer (AgriTech, (офис г. Москва м.Киевская/Сколково)"
123684125,Data Scientist
123918461,ML-инженер (портал Рамблер)
123216336,Middle ML engineer (Kandinsky)
123663100,Python Developer MLOps
123297250,Инженер по работе с данными (Data Scientist - Performance & Revenue Analytics)
120806663,ML инженер (LLM)
123050677,Аналитик данных (Data analyst)
120596713,Data Scientist
122975963,ML-инженер
118869999,Data Analyst/Data Scientist в команду Внепродуктовой аналитики
122202530,AI Engineer
123965231,Программист-исследователь
123442259,AI / ML engineer
80321813,ML-инженер
124083776,AI Engineering Lead
123467272,AI Engineer / ML Developer
123889835,ML engineer (GigaChat)
123001234,Senior Python-разработчик / AI Engineer (разработка AI-агентов)
123701837,Data Scientist (STT-системы)
123816620,Инженер по нейросетям / ML-инженер
123335471,Аналитик данных в команду Интегрированного бизнес-планирования
123916740,Senior Data Scientist / Machine Learning Engineer
123507516,Middle ML-инженер
123609102,ML-инженер
122193417,Data Scientist / ML - инженер
123604004,ML Engineer
122711961,ML/CV Engineer
122300574,Data scientist
123086357,AI инженер (LLM)
123297976,Data Scientist (Модели CRM)
123981866,Старший ML инженер (Python)
123411573,Data Scientist / Исследователь данных
123858155,"Директор по стратегии Data Science (LLM, NLP, агенты)"
123171633,Senior AI Engineer
124002923,ML Engineer
124122188,Senior ML Engineer/ML Team Lead (CV)
123308340,Старший исследователь ИИ-помощников и ассистентов (Лаборатория нейронаук и поведения человека)
121886416,Data Analyst / Аналитик данных
123451455,Data Scientist
